tract_id,tract_name,closest_stop_id,median_income
42101011500,Census Tract 115,20581,74815
42101011700,Census Tract 117,24492,87708
42101011800,Census Tract 118,24479,38642
42101011900,Census Tract 119,21763,45433
42101012000,Census Tract 120,3566,69500
42101012100,Census Tract 121,22206,47875
42101012500,Census Tract 125,2802,
42101013100,Census Tract 131,16283,30709
42101013200,Census Tract 132,16121,38639
42101013300,Census Tract 133,3031,92222
42101013500,Census Tract 135,2801,133125
42101013700,Census Tract 137,2908,
42101017000,Census Tract 170,4346,54232
42101017100,Census Tract 171,14949,26751
42101017300,Census Tract 173,2684,31935
42101017400,Census Tract 174,20521,30679
42101017500,Census Tract 175,16264,23255
42101017800,Census Tract 178,23946,36712
42101017900,Census Tract 179,5608,44468
42101018300,Census Tract 183,23802,68095
42101018400,Census Tract 184,23807,60607
42101018800,Census Tract 188,24141,
42101021700,Census Tract 217,15392,88998
42101021800,Census Tract 218,519,67663
42101021900,Census Tract 219,16172,67083
42101022000,Census Tract 220,12397,91146
42101980100,Census Tract 9801,8521,
42101023100,Census Tract 231,15436,129571
42101023500,Census Tract 235,788,106587
42101023600,Census Tract 236,16462,104318
42101023700,Census Tract 237,15494,75583
42101023800,Census Tract 238,18267,79647
42101023900,Census Tract 239,20553,41917
42101024000,Census Tract 240,24340,55748
42101025700,Census Tract 257,1051,56958
42101025800,Census Tract 258,16985,44250
42101025900,Census Tract 259,15432,47144
42101026000,Census Tract 260,15453,58981
42101026100,Census Tract 261,18302,46147
42101026200,Census Tract 262,15488,62098
42101034801,Census Tract 348.01,22440,65357
42101026302,Census Tract 263.02,11138,56679
42101026400,Census Tract 264,18255,57654
42101026500,Census Tract 265,24797,42038
42101026600,Census Tract 266,28451,47451
42101026700,Census Tract 267,24801,49097
42101026800,Census Tract 268,31343,41220
42101029900,Census Tract 299,17847,28398
42101030000,Census Tract 300,23968,31667
42101030100,Census Tract 301,24833,21990
42101030200,Census Tract 302,23595,56122
42101030600,Census Tract 306,15850,58349
42101030700,Census Tract 307,16433,50742
42101030800,Census Tract 308,22857,58449
42101030900,Census Tract 309,22850,46980
42101031000,Census Tract 310,20478,53347
42101031200,Census Tract 312,5622,50336
42101031300,Census Tract 313,15751,53735
42101031600,Census Tract 316,22344,61436
42101031700,Census Tract 317,22466,29115
42101036303,Census Tract 363.03,23896,102316
42101034701,Census Tract 347.01,22436,63326
42101034802,Census Tract 348.02,23918,52519
42101034900,Census Tract 349,22780,56073
42101035100,Census Tract 351,22559,62188
42101035200,Census Tract 352,22687,81367
42101035301,Census Tract 353.01,23854,80980
42101026301,Census Tract 263.01,17559,49732
42101000804,Census Tract 8.04,3042,
42101001202,Census Tract 12.02,35,
42101001201,Census Tract 12.01,22236,106871
42101000803,Census Tract 8.03,309,82121
42101980900,Census Tract 9809,31621,
42101002702,Census Tract 27.02,24210,80075
42101003002,Census Tract 30.02,3058,66217
42101003001,Census Tract 30.01,24193,49132
42101002802,Census Tract 28.02,24198,71409
